city,point_count_mean,point_count_sum,mean_temp_mean,median_temp_mean,std_temp_mean,min_temp_min,max_temp_max,range_temp_mean
"Abingdon, VA",19641.33,58924,77.62,77.58,1.59,63.14,89.87,8.78
"Albuquerque, NM",35206.0,70412,85.3,85.34,1.94,65.1,104.15,10.84
"Arlington, VA",10733.33,32200,83.51,83.29,1.31,68.9,95.1,7.33
"Asheville, NC",19133.67,57401,75.57,75.81,1.76,60.68,92.16,12.32
"Atlanta, GA",24960.0,74880,72.95,72.76,1.88,56.68,86.86,10.75
"Austin, TX",27185.33,81556,88.38,88.4,1.09,70.88,100.04,7.14
"Baltimore, MD",49270.33,147811,87.6,87.62,1.88,72.32,104.54,15.36
"Bloomington, IN",9307.0,27921,81.12,81.27,1.59,63.8,93.5,10.6
"Boise, ID",21387.0,64161,79.56,79.46,1.94,50.9,98.96,14.28
"Boston, MA",19112.67,57338,83.72,83.72,1.52,71.6,102.56,13.68
"Boulder, CO",9042.33,27127,84.07,84.07,2.33,61.3,101.2,11.43
"Brockton, MA",9394.33,28183,77.6,77.7,1.3,61.8,92.7,9.7
"Bronx and Manhattan, NY",14128.67,42386,77.65,77.72,1.29,67.02,87.02,7.0
"Brooklyn, NY",13697.0,41091,85.16,85.17,1.01,73.9,95.4,7.5
"Buffalo and Erie County, NY",19472.33,58417,81.53,81.7,1.77,60.4,92.7,11.53
"Burlington, VT",17303.33,51910,76.71,76.82,1.19,65.3,89.42,8.04
"Charleston, SC",19316.0,57948,84.5,84.49,1.45,74.08,95.93,8.27
"Charlotte, NC",23634.33,70903,88.27,88.4,2.04,72.7,105.0,13.7
"Charlottesville, VA",11467.0,34401,84.05,84.2,1.46,68.44,96.4,7.6
"Chicago, IL",46477.67,139433,84.05,84.07,2.14,72.7,99.1,15.37
"Cincinnati, OH",25055.67,75167,79.16,79.1,1.48,66.02,89.06,10.02
"Clark County, NV",45183.67,135551,86.36,86.2,1.92,75.0,96.4,10.23
"Clarksville, IN",8103.67,24311,84.21,84.27,1.39,67.18,94.76,7.57
"Columbia, MO",11137.0,33411,90.04,90.07,0.96,77.2,100.5,6.6
"Columbia, SC",23957.33,71872,84.29,84.37,1.9,72.5,100.2,12.57
"Columbus, OH",37391.33,112174,71.63,71.73,1.66,52.2,85.0,11.97
"Detroit, MI",43808.33,131425,74.53,74.42,1.35,56.66,87.44,9.18
"East Multnomah County, OR",10752.33,32257,83.94,84.11,1.48,64.63,95.8,7.96
"El Paso, TX",22139.67,66419,96.84,97.1,1.7,73.04,109.04,14.22
"Farmville, VA",17805.33,53416,82.61,82.48,1.76,69.11,94.77,10.04
"Fort Lauderdale, FL",18147.67,54443,83.02,83.06,1.24,75.38,94.46,7.5
"Harrisonburg, VA",9795.33,29386,79.98,80.08,1.51,63.98,94.26,8.12
"Honolulu, HI",25818.67,77456,82.49,82.76,2.21,70.16,94.82,12.06
"Houston and Harris County, TX",77576.33,232729,87.38,87.32,1.46,72.32,103.28,13.5
"Iowa City and Cedar Rapids, IA",27892.67,83678,75.55,75.67,1.68,52.8,90.0,11.57
"Jackson, MS",24436.33,73309,80.46,80.54,1.67,66.38,95.72,10.74
"Jacksonville, FL",45621.0,136863,89.61,89.8,1.43,74.0,99.1,10.13
"Jersey City, Newark, and Elizabeth, NJ",18610.67,55832,76.27,76.35,1.35,63.04,86.51,7.08
"Johnson County and Wyandotte County, KS",69966.33,209899,83.55,83.7,1.47,70.3,96.6,10.8
"Kansas City, MO",24008.33,72025,81.66,81.54,1.53,65.39,93.4,8.29
"Knoxville, TN",19421.33,58264,82.09,82.13,1.91,66.8,95.1,13.07
"Laredo, TX",15882.33,47647,93.34,93.37,1.08,76.5,106.7,7.73
"Las Cruces, NM",12935.67,38807,93.56,93.74,1.72,72.86,112.28,11.58
"Little Rock, AR",21068.0,63204,87.37,87.53,1.72,68.7,102.6,10.2
"Longmont, CO",10843.67,32531,79.55,79.6,1.36,51.8,100.4,9.5
"Los Angeles, CA",17172.33,103034,74.47,74.48,2.18,60.98,94.82,12.72
"Lynchburg, VA",5415.0,16245,82.35,82.57,1.29,68.35,93.18,7.75
"Memphis, TN",43715.33,131146,89.71,89.77,1.76,75.7,102.2,12.87
"MetroWest and Framingham, MA",16620.0,49860,78.07,78.0,1.38,65.6,91.1,8.3
"Miami, FL",20078.0,60234,85.88,86.06,1.33,75.2,93.74,8.76
"Milwaukee, WI",19672.0,59016,82.91,83.0,1.14,69.1,96.7,8.37
"Moab, UT",9076.0,27228,86.27,86.5,2.07,60.6,100.7,12.3
"Montgomery County, MD",36786.67,110360,83.94,84.03,1.5,70.4,95.6,10.4
"Mystic River, MA",29100.0,87300,85.4,85.33,1.54,72.23,97.64,9.02
"Nashville, TN",20678.33,62035,81.97,81.97,1.4,59.5,95.6,9.6
"New Orleans, LA",25083.67,75251,86.55,86.6,1.35,75.38,101.48,10.14
"Oakland and Berkeley, CA",20050.33,60151,63.22,63.62,2.43,55.04,93.56,21.36
"Oklahoma City, OK",74617.33,223852,86.73,87.03,1.92,74.0,98.1,13.37
"Omaha, NE",14571.33,43714,92.02,91.97,1.14,77.4,102.9,7.17
"Palo Alto, CA",9062.0,27186,76.99,77.07,2.23,53.1,97.5,12.77
"Petersburg, VA",7457.33,22372,84.17,84.18,1.17,70.91,94.31,6.03
"Philadelphia, PA",12857.33,38572,83.72,83.83,1.57,70.5,95.0,9.0
"Pierce County, WA",41230.33,123691,73.65,73.73,1.68,52.0,88.8,12.27
"Raleigh and Durham, NC",33091.67,99275,77.69,77.78,1.46,64.38,88.75,8.84
Rhode Island,15251.67,45755,80.67,80.72,2.14,65.48,94.64,11.7
"Richmond, IN",11818.0,35454,80.25,80.37,1.73,64.7,91.78,9.01
"Richmond, VA",29321.0,87963,84.13,84.17,1.45,69.47,95.49,8.33
"Roanoke, VA",10367.33,31102,77.66,77.42,1.78,64.22,90.86,10.86
"Sacramento, CA",21976.0,65928,87.7,87.92,2.54,60.44,106.88,16.2
"Salem, VA",7711.67,23135,82.52,82.62,1.32,69.41,92.84,7.21
"Salt Lake City, UT",19569.0,58707,83.13,83.5,1.98,56.6,98.7,13.9
"San Bernardino, CA",11425.33,34276,70.9,70.58,2.85,43.34,95.18,18.0
"San Diego, CA",30949.67,92849,69.75,69.61,2.18,61.08,85.08,10.88
"San Francisco, CA",19936.67,59810,62.07,61.93,1.62,53.4,75.9,9.7
"San Jose and Santa Clara, CA",48851.67,146555,67.93,68.12,1.93,57.38,84.38,11.7
"San Juan, PR",19741.67,59225,83.65,84.26,2.08,70.52,96.62,11.88
"Santa Fe, NM",14685.67,44057,79.34,79.4,1.92,56.8,96.5,11.13
"Scranton and Wilkes Barre, PA",19364.67,58094,76.71,76.83,1.48,58.7,92.6,10.67
"Seattle and King County, WA",36702.33,110107,78.6,78.98,2.88,51.26,98.78,19.44
"Sedona, AZ",5829.0,17487,75.76,76.13,1.91,41.7,95.3,11.63
"Spokane, WA",14662.67,43988,80.62,80.8,1.93,57.8,94.1,11.33
"Toledo, OH",16824.0,50472,78.34,78.4,1.3,67.7,89.8,7.93
"Victorville, CA",9654.33,28963,84.65,84.5,1.82,64.04,99.32,10.26
"Virginia Beach, VA",21679.67,65039,83.51,83.82,2.34,74.1,99.78,12.83
"Washington, D.C.",24682.67,74048,87.19,87.32,2.27,68.9,103.1,17.04
"West Palm Beach, FL",10258.67,30776,84.94,85.04,1.56,77.72,93.92,8.52
"Winchester, VA",27256.33,81769,81.93,81.99,1.61,66.95,99.21,8.76
"Worcester, MA",21135.67,63407,75.69,75.68,2.3,61.16,90.86,12.54
"Yonkers, NY",10625.0,31875,77.63,77.48,1.24,66.38,95.18,8.76
